H_RATIO_3A_PCT_CHG,HSN1F_3A_PCT_CHG,PERMIT_3A_PCT_CHG,STOCK_MKT_3A_PCT_CHG,BAA_YEILD_10Y_2A_PCT_CHG,US10Y_3A_PCT_CHG,RPCE_A_PCT_CHG,UEMP_3A_PCT_CHG,RGDP_M_PCT_CHG,YEAR,MONTH
-0.035087719,0.129901961,0.170893054,-1.563141497,-0.20564516100000002,0.6825054,-1.0620155039999999,0.125865999,-0.419354839,1970,1
0.170212766,-0.086294416,0.037433155,-3.199388053,-0.42000000000000004,0.024509804,-0.34883721,-0.207030921,0.10483871,1962,6
-0.316326531,0.637566138,0.805399325,-1.556683431,-0.6763803675,-0.105756359,-1.732394367,-0.030225633,-0.214765101,1984,7
-0.095890411,0.35971223,0.589285714,-6.617057373,-0.6132596685,-0.002372479,-1.761111111,-0.264047186,0.113821138,1978,8
0.176470588,0.018678161,-0.149471565,-5.143618554,0.8023255815000001,-0.402027027,-2.684210526,-0.11934146,0.097560976,1987,1
-0.395833333,0.294332724,0.016405136,-0.431699523,-0.534246576,0.101040119,-0.19576719599999998,0.518728626,0.0875,1976,10
-0.107692308,-0.119170984,-0.541132699,-0.800968345,0.663793104,0.26572327,-2.41455717,0.517763996,0.23030303,1975,11
0.075757576,-0.257267442,-0.333561644,0.313114113,-0.1271186445,-0.106911447,-1.9802933670000002,0.263715473,-0.166666667,1991,7
-0.125,0.322368421,0.252229299,1.532150689,-0.33636363599999997,-0.232758621,2.88,0.553809965,-0.10952381,2003,8
0.028985507,0.230118443,0.417508418,0.227592572,-0.377300613,0.176844784,-2.1670761659999997,-0.244465033,0.242105263,1979,5
0.12244898,-0.112754159,0.258843831,-6.563992577,0.11344537799999999,0.250517598,-1.442906574,-0.128998943,0.333333333,1969,1
0.170212766,-0.054145516,0.044973545,-2.672945539,-0.6000000000000001,0.071246819,0.023778072,-0.101793613,-0.163333333,1965,2
0.170212766,-0.086294416,0.037433155,-3.199388053,-0.42000000000000004,0.024509804,-0.34883721,-0.207030921,0.094890511,1962,7
-0.184615385,0.023584906,0.4050834,-0.304779401,0.4999999995,0.058536585,5.588888889,0.248603212,-0.044444444,1983,6
0.024390244,0.040189125,-0.033857316,0.141573222,0.352941177,-0.018726592,-1.903394256,0.092627712,-0.935800127,2001,7
0.076923077,0.202830189,0.259534884,3.785804132,-0.12499999949999999,-0.047040971,0.14447592,-0.23702188,0.280487805,1995,7
0.0,0.024802706,0.072072072,-1.132765365,0.5160550455,-0.090265487,-2.312977098,-0.007401028,0.945945946,2001,4
0.0,-0.06996587,-0.151851852,-1.685410593,0.0230769225,0.208651399,-2.437148217,-0.28483201,-0.674418605,1966,4
0.1,-0.044792833,-0.089586969,-5.975714722,0.6806167395,0.04415011,0.882857142,0.236526946,-1.217391304,2001,9
-0.211267606,0.882063882,0.832613391,-4.162568066,0.27653631300000003,-0.210566616,3.2068965510000003,-0.287426931,0.1625,1985,7
0.242857143,-0.256,-0.365133837,-0.715217903,0.493421052,-0.015801354,-6.862660944,-0.000284668,0.565217391,1990,10
0.06122449,0.332061069,0.496989967,-3.450308589,0.7207792215000001,-0.038772213,-0.507692307,0.791321484,0.416149068,1972,1
